signals,size,development_sharpe,development_sharpe_standard_error,development_mean_daily_return,development_daily_volatility,evaluation_sharpe,evaluation_sharpe_standard_error
headline/actionable_sentiment_all,1,-2.976247640063072,1.7368972505337366,-0.0008626439560174956,0.004601111843435582,-3.668600758097105,2.609342101802853
headline/sentiment_all,1,-0.5833226065827505,1.7224132613068186,-0.00018434707804729046,0.005016810779460383,-1.1660682849777435,2.578656614874739
headline/sentiment_non_reuters,1,-0.7043139589544809,1.7226792712187984,-0.00022862848776217153,0.005153049547461038,-1.7327658344476717,2.582844406741257
headline/sentiment_reuters,1,-3.4017234632669733,1.7414863876459454,-0.0006706876716571042,0.003129836047691177,-5.003007402923556,2.6383559550801103
llm/finbert,1,-1.7231418881976581,1.7268966009559759,-0.0005290703995711135,0.004874080467424074,-1.1533389197253585,2.5785812874722445
llm/gemma-4-31b,1,-2.7390672293036387,1.7346002917889711,-0.0007357628189646218,0.004264178889986126,-3.2291750041729923,2.6016886500268686
llm/vader,1,-0.7352254818948213,1.722755242779678,-0.00026874402237169484,0.005802545208565559,-0.8992806402432502,2.5772504363073194
headline/actionable_sentiment_all|headline/sentiment_all,2,-1.8077415480708405,1.727405278759449,-0.0005234955170323934,0.004597025339168499,-2.5152910175392797,2.5912979091539645
headline/actionable_sentiment_all|headline/sentiment_non_reuters,2,-1.8631296047593624,1.7277514321563783,-0.0005456362218898337,0.004649009105136768,-2.8444852990282254,2.5957736313000157
headline/actionable_sentiment_all|headline/sentiment_reuters,2,-3.638254887557319,1.7442964174481805,-0.0007666658138372999,0.003345131902185588,-4.850662461584863,2.6346100438410747
headline/actionable_sentiment_all|llm/finbert,2,-2.7220524610404566,1.7344427306446917,-0.0006958571777943047,0.004058110709062396,-2.680421602696359,2.593475264379828
headline/actionable_sentiment_all|llm/gemma-4-31b,2,-3.265240209606872,1.7399489404719926,-0.0007992033874910588,0.00388546007250654,-3.584141309147178,2.6077971872927117
headline/actionable_sentiment_all|llm/vader,2,-2.064813674781618,1.7290994859813509,-0.0005656939891945952,0.004349115753695073,-2.413077508052643,2.59001865228975
headline/sentiment_all|headline/sentiment_non_reuters,2,-0.6464327317596036,1.7225457823279546,-0.00020648778290473105,0.005070739418023566,-1.4522176079229945,2.5805673998192766
