signals,size,sharpe,is_add_drop_stable,best_addition,best_addition_sharpe,best_removal,best_removal_sharpe
headline/actionable_sentiment_all,1,-0.4598238588880356,False,headline/sentiment_all,0.46907238373928883,,
headline/sentiment_all,1,1.2739597659227422,True,headline/sentiment_non_reuters,1.1776280962506973,,
headline/sentiment_non_reuters,1,1.0774383005350952,False,headline/sentiment_all,1.1776280962506973,,
headline/sentiment_reuters,1,-0.4494562197338631,False,headline/sentiment_all,0.7079633944150069,,
llm/finbert,1,0.7064933971675242,False,headline/sentiment_all,1.0835069267814215,,
llm/gemma-4-31b,1,0.2568513931569123,False,headline/sentiment_all,0.884282463116986,,
llm/vader,1,0.6613360463497473,False,headline/sentiment_all,1.061433519690093,,
headline/actionable_sentiment_all|headline/sentiment_all,2,0.46907238373928883,False,headline/sentiment_non_reuters,0.6965165205980887,headline/actionable_sentiment_all,1.2739597659227422
headline/actionable_sentiment_all|headline/sentiment_non_reuters,2,0.37327369814381955,False,headline/sentiment_all,0.6965165205980887,headline/actionable_sentiment_all,1.0774383005350952
headline/actionable_sentiment_all|headline/sentiment_reuters,2,-0.527903381845025,False,headline/sentiment_all,0.26335305607813914,headline/actionable_sentiment_all,-0.4494562197338631
headline/actionable_sentiment_all|llm/finbert,2,0.16672156287851458,False,headline/sentiment_all,0.6083681325608853,headline/actionable_sentiment_all,0.7064933971675242
headline/actionable_sentiment_all|llm/gemma-4-31b,2,-0.12981759736087356,False,headline/sentiment_all,0.4380840034305295,headline/actionable_sentiment_all,0.2568513931569123
headline/actionable_sentiment_all|llm/vader,2,0.20074739668561606,False,headline/sentiment_all,0.6202207107232977,headline/actionable_sentiment_all,0.6613360463497473
headline/sentiment_all|headline/sentiment_non_reuters,2,1.1776280962506973,False,llm/finbert,1.1038679318529647,headline/sentiment_non_reuters,1.2739597659227422
headline/sentiment_all|headline/sentiment_reuters,2,0.7079633944150069,False,headline/sentiment_non_reuters,0.8814237859178325,headline/sentiment_reuters,1.2739597659227422
headline/sentiment_all|llm/finbert,2,1.0835069267814215,False,headline/sentiment_non_reuters,1.1038679318529647,llm/finbert,1.2739597659227422
headline/sentiment_all|llm/gemma-4-31b,2,0.884282463116986,False,headline/sentiment_non_reuters,0.976121087357744,llm/gemma-4-31b,1.2739597659227422
headline/sentiment_all|llm/vader,2,1.061433519690093,False,headline/sentiment_non_reuters,1.099394758026205,llm/vader,1.2739597659227422
