signal_a,signal_b,mean_a,mean_b,volatility_a,volatility_b,correlation,weight_a,weight_b,weight_a_closed_form,closed_form_agrees,lagrange_multiplier,budget_denominator,stationary_point_is_maximum,optimal_sharpe,equal_weight_sharpe,best_single_sharpe,gross_leverage,covariance_condition_number,grid_best_weight_a,grid_best_sharpe,long_only_weight_a,long_only_sharpe,evaluation_sharpe_at_frozen_weights,evaluation_sharpe_long_only
headline/sentiment_all,headline/sentiment_non_reuters,-0.00018434707804729046,-0.00022862848776217153,0.005016810779460383,0.005153049547461038,0.9888505940502713,-10.298808134988587,11.298808134988587,-10.298808134988345,True,0.0,-6.22074247793563,False,-1.0360086299002444,-0.6464327317596036,-0.5833226065827505,21.597616269977173,178.51129536581922,25.0,0.7464927145325859,1.0,-0.5833226065827505,-3.9074195031599452,-1.1660682849777435
headline/actionable_sentiment_all,headline/sentiment_all,-0.0008626439560174956,-0.00018434707804729046,0.004601111843435582,0.005016810779460383,0.8272776575832486,3.2364329556314795,-2.2364329556314795,3.2364329556314813,True,0.0,-33.423937796119745,False,-4.476946657636514,-1.8077415480708405,-0.5833226065827505,5.472865911262959,10.675184581178677,-25.0,3.6165534009091793,0.0,-0.5833226065827505,-4.3051770407599,-1.1660682849777435
headline/actionable_sentiment_all,headline/sentiment_non_reuters,-0.0008626439560174956,-0.00022862848776217153,0.004601111843435582,0.005153049547461038,0.8167311101047249,2.793648990110767,-1.7936489901107668,2.793648990110769,True,0.0,-35.3411049236546,False,-4.220253296449953,-1.8631296047593624,-0.7043139589544809,4.587297980221534,10.069349414675788,-25.0,3.199376012870541,0.0,-0.7043139589544809,-3.7272062373473185,-1.7327658344476717
headline/actionable_sentiment_all,headline/sentiment_reuters,-0.0008626439560174956,-0.0006706876716571042,0.004601111843435582,0.003129836047691177,0.47891773551739336,0.3167795850732692,0.6832204149267307,0.3167795850732693,True,0.0,-75.54920647927565,False,-3.7318231500075427,-3.638254887557319,-2.976247640063072,0.9999999999999999,3.7320927311068934,-25.0,0.6280536065951459,1.0,-2.976247640063072,-5.24983156252986,-3.668600758097105
headline/actionable_sentiment_all,llm/finbert,-0.0008626439560174956,-0.0005290703995711135,0.004601111843435582,0.0048740804674240745,0.4670021992776724,0.8734703771103646,0.1265296228896354,0.8734703771103643,True,0.0,-43.53110864332923,False,-3.000010387670247,-2.7220524610404566,-1.7231418881976581,1.0,2.771937907469647,-25.0,0.9902619575350442,0.0,-1.7231418881976581,-3.4996304793691198,-1.1533389197253585
headline/actionable_sentiment_all,llm/gemma-4-31b,-0.0008626439560174956,-0.0007357628189646218,0.004601111843435582,0.004264178889986127,0.5360292227296471,0.5499516919686445,0.4500483080313554,0.5499516919686445,True,0.0,-52.678278027601806,False,-3.2700919554083625,-3.265240209606872,-2.7390672293036387,0.9999999999999999,3.3463659242315704,-25.0,0.355256167544759,0.0,-2.7390672293036387,-3.6061777735531475,-3.2291750041729923
headline/actionable_sentiment_all,llm/vader,-0.0008626439560174956,-0.00026874402237169484,0.004601111843435582,0.005802545208565559,0.3899045976851642,1.1433357758828304,-0.14333577588283047,1.1433357758828304,True,0.0,-37.980864362721334,False,-3.011857464049305,-2.064813674781618,-0.7352254818948213,1.2866715517656608,2.5894154217428462,-25.0,1.5442662580331807,0.0,-0.7352254818948213,-3.8504057601558612,-0.8992806402432502
headline/sentiment_all,headline/sentiment_reuters,-0.00018434707804729046,-0.0006706876716571042,0.005016810779460383,0.003129836047691177,0.49505996564277016,-0.28303794713995584,1.2830379471399558,-0.283037947139956,True,0.0,-64.68617955735732,False,-3.6299713279425014,-1.909815338778858,-0.5833226065827505,1.5660758942799116,4.337746930662303,25.0,1.6616543647069917,1.0,-0.5833226065827505,-5.035003994216706,-1.1660682849777435
headline/sentiment_all,llm/finbert,-0.00018434707804729046,-0.0005290703995711135,0.005016810779460383,0.0048740804674240745,0.6801716581468477,-0.7581444231040074,1.7581444231040075,-0.7581444231040074,True,0.0,-18.144735072048533,False,-1.901098738972407,-1.2492177646485276,-0.5833226065827505,2.516288846208015,5.259790269777752,25.0,1.3205156637341067,1.0,-0.5833226065827505,-0.9142348673308613,-1.1660682849777435
headline/sentiment_all,llm/gemma-4-31b,-0.00018434707804729046,-0.0007357628189646218,0.005016810779460383,0.004264178889986127,0.6554652463328462,-0.7766295255036492,1.776629525503649,-0.7766295255036489,True,0.0,-34.357553835141736,False,-3.1746033927067785,-1.7286363997841463,-0.5833226065827505,2.553259051007298,4.9999763064633695,25.0,2.13924385903826,1.0,-0.5833226065827505,-3.933182294923736,-1.1660682849777435
headline/sentiment_all,llm/vader,-0.00018434707804729046,-0.00026874402237169484,0.005016810779460383,0.005802545208565559,0.5855121170385662,0.3098848651467564,0.6901151348532437,0.30988486514675617,True,0.0,-9.423775519009276,False,-0.7590140208664904,-0.7461315724666762,-0.5833226065827505,1.0,3.964165556468029,25.0,0.24130847447967296,1.0,-0.5833226065827505,-1.0331446592547942,-1.1660682849777435
headline/sentiment_non_reuters,headline/sentiment_reuters,-0.00022862848776217153,-0.0006706876716571042,0.005153049547461038,0.003129836047691177,0.4991114154237623,-0.2466303822430042,1.2466303822430043,-0.24663038224300418,True,0.0,-65.58320147474055,False,-3.5897477826022803,-1.971254469063482,-0.7043139589544809,1.4932607644860085,4.544800623565326,25.0,1.4692964091034806,1.0,-0.7043139589544809,-4.654694042100068,-1.7327658344476717
headline/sentiment_non_reuters,llm/finbert,-0.00022862848776217153,-0.0005290703995711135,0.005153049547461038,0.0048740804674240745,0.6765691359253504,-0.5388552536151038,1.5388552536151037,-0.5388552536151034,True,0.0,-19.308213760924957,False,-1.8335779441373867,-1.3100628037236761,-0.7043139589544809,2.0777105072302073,5.20745607312436,25.0,1.1145871006554162,1.0,-0.7043139589544809,-0.6871209138609058,-1.7327658344476717
headline/sentiment_non_reuters,llm/gemma-4-31b,-0.00022862848776217153,-0.0007357628189646218,0.005153049547461038,0.004264178889986127,0.6521448290982407,-0.6467099143487604,1.6467099143487602,-0.6467099143487606,True,0.0,-35.586750990947095,False,-3.0885915179696366,-1.7869584465299397,-0.7043139589544809,2.2934198286975205,5.013098707744355,25.0,1.907902416825713,1.0,-0.7043139589544809,-3.5064432806886496,-1.7327658344476717
headline/sentiment_non_reuters,llm/vader,-0.00022862848776217153,-0.00026874402237169484,0.005153049547461038,0.005802545208565559,0.5943562793539954,0.4873795289719364,0.5126204710280636,0.48737952897193626,True,0.0,-10.367703480867046,False,-0.8068802135029868,-0.8068156428064441,-0.7043139589544809,1.0,4.023909861239166,25.0,0.09624071791013579,1.0,-0.7043139589544809,-1.386279157741744,-1.7327658344476717
headline/sentiment_reuters,llm/finbert,-0.0006706876716571042,-0.0005290703995711135,0.003129836047691177,0.0048740804674240745,0.4477354304158537,0.9534297730526797,0.046570226947320346,0.9534297730526796,True,0.0,-69.44544522476927,False,-3.4090741612850266,-2.771807840546039,-1.7231418881976581,1.0,3.786313336197158,-25.0,0.41447145282421094,0.0,-1.7231418881976581,-4.899921143869988,-1.1533389197253585
headline/sentiment_reuters,llm/gemma-4-31b,-0.0006706876716571042,-0.0007357628189646218,0.003129836047691177,0.004264178889986127,0.4013149612095218,0.6954249160950828,0.30457508390491705,0.695424916095083,True,0.0,-79.43143151599587,False,-3.7177553183749468,-3.5893760436207116,-2.7390672293036387,0.9999999999999999,2.8929834090682376,25.0,0.14028171990821342,0.0,-2.7390672293036387,-4.911403769559635,-3.2291750041729923
headline/sentiment_reuters,llm/vader,-0.0006706876716571042,-0.00026874402237169484,0.003129836047691177,0.005802545208565559,0.47290357530153665,1.1824063708064487,-0.18240637080644856,1.1824063708064485,True,0.0,-66.96080668336538,False,-3.5432228186916457,-1.9150403252565924,-0.7352254818948213,1.3648127416128972,5.185214858438492,-25.0,1.166336484539893,0.0,-0.7352254818948213,-5.501177441116612,-0.8992806402432502
llm/finbert,llm/gemma-4-31b,-0.0005290703995711135,-0.0007357628189646218,0.0048740804674240745,0.004264178889986127,0.6638650723717594,-0.055107728849541786,1.0551077288495418,-0.055107728849541786,True,0.0,-39.93307943793413,False,-2.7420255221020033,-2.4078569312487823,-1.7231418881976581,1.1102154576990837,5.083887887299157,25.0,0.7514507318706172,1.0,-1.7231418881976581,-3.2914760399165175,-1.1533389197253585
llm/finbert,llm/vader,-0.0005290703995711135,-0.00026874402237169484,0.0048740804674240745,0.005802545208565559,0.6204130391125491,1.2842315392976056,-0.2842315392976057,1.2842315392976063,True,0.0,-20.730165018053025,False,-1.7749377403410713,-1.3166972465782372,-0.7352254818948213,1.5684630785952112,4.479633764409241,-25.0,0.8142222452601944,0.0,-0.7352254818948213,-1.121503063004458,-0.8992806402432502
