signals,size,sharpe,is_add_drop_stable,best_addition,best_addition_sharpe,best_removal,best_removal_sharpe
headline/actionable_sentiment_all,1,-2.976247640063072,False,headline/sentiment_all,-1.8077415480708405,,
headline/sentiment_all,1,-0.5833226065827505,True,headline/sentiment_non_reuters,-0.6464327317596036,,
headline/sentiment_non_reuters,1,-0.7043139589544809,False,headline/sentiment_all,-0.6464327317596036,,
headline/sentiment_reuters,1,-3.4017234632669733,False,headline/sentiment_all,-1.909815338778858,,
llm/finbert,1,-1.7231418881976581,False,headline/sentiment_all,-1.2492177646485276,,
llm/gemma-4-31b,1,-2.7390672293036387,False,headline/sentiment_all,-1.7286363997841463,,
llm/vader,1,-0.7352254818948213,True,headline/sentiment_all,-0.7461315724666762,,
headline/actionable_sentiment_all|headline/sentiment_all,2,-1.8077415480708405,False,headline/sentiment_non_reuters,-1.4285235474292284,headline/actionable_sentiment_all,-0.5833226065827505
headline/actionable_sentiment_all|headline/sentiment_non_reuters,2,-1.8631296047593624,False,headline/sentiment_all,-1.4285235474292284,headline/actionable_sentiment_all,-0.7043139589544809
headline/actionable_sentiment_all|headline/sentiment_reuters,2,-3.638254887557319,False,headline/sentiment_all,-2.451974463120287,headline/sentiment_reuters,-2.976247640063072
headline/actionable_sentiment_all|llm/finbert,2,-2.7220524610404566,False,headline/sentiment_all,-1.962685826764991,headline/actionable_sentiment_all,-1.7231418881976581
headline/actionable_sentiment_all|llm/gemma-4-31b,2,-3.265240209606872,False,headline/sentiment_all,-2.2970349933577316,headline/actionable_sentiment_all,-2.7390672293036387
headline/actionable_sentiment_all|llm/vader,2,-2.064813674781618,False,headline/sentiment_all,-1.587485044679525,headline/actionable_sentiment_all,-0.7352254818948213
headline/sentiment_all|headline/sentiment_non_reuters,2,-0.6464327317596036,False,llm/vader,-0.7537249317394807,headline/sentiment_non_reuters,-0.5833226065827505
headline/sentiment_all|headline/sentiment_reuters,2,-1.909815338778858,False,headline/sentiment_non_reuters,-1.4321021238482887,headline/sentiment_reuters,-0.5833226065827505
headline/sentiment_all|llm/finbert,2,-1.2492177646485276,False,headline/sentiment_non_reuters,-1.0740710395844983,llm/finbert,-0.5833226065827505
headline/sentiment_all|llm/gemma-4-31b,2,-1.7286363997841463,False,headline/sentiment_non_reuters,-1.3678317381322993,llm/gemma-4-31b,-0.5833226065827505
headline/sentiment_all|llm/vader,2,-0.7461315724666762,False,headline/sentiment_non_reuters,-0.7537249317394807,llm/vader,-0.5833226065827505
headline/sentiment_non_reuters|headline/sentiment_reuters,2,-1.971254469063482,False,headline/sentiment_all,-1.4321021238482887,headline/sentiment_reuters,-0.7043139589544809
headline/sentiment_non_reuters|llm/finbert,2,-1.3100628037236761,False,headline/sentiment_all,-1.0740710395844983,llm/finbert,-0.7043139589544809
headline/sentiment_non_reuters|llm/gemma-4-31b,2,-1.7869584465299397,False,headline/sentiment_all,-1.3678317381322993,llm/gemma-4-31b,-0.7043139589544809
headline/sentiment_non_reuters|llm/vader,2,-0.8068156428064441,False,headline/sentiment_all,-0.7537249317394807,llm/vader,-0.7043139589544809
headline/sentiment_reuters|llm/finbert,2,-2.771807840546039,False,headline/sentiment_all,-1.9958735983055884,headline/sentiment_reuters,-1.7231418881976581
headline/sentiment_reuters|llm/gemma-4-31b,2,-3.5893760436207116,False,headline/sentiment_all,-2.4361903783737424,headline/sentiment_reuters,-2.7390672293036387
headline/sentiment_reuters|llm/vader,2,-1.9150403252565924,False,headline/sentiment_all,-1.532843553070096,headline/sentiment_reuters,-0.7352254818948213
llm/finbert|llm/gemma-4-31b,2,-2.4078569312487823,False,headline/sentiment_all,-1.8418080620720576,llm/gemma-4-31b,-1.7231418881976581
llm/finbert|llm/vader,2,-1.3166972465782372,False,headline/sentiment_all,-1.1461731243356863,llm/finbert,-0.7352254818948213
llm/gemma-4-31b|llm/vader,2,-1.8269972718977598,False,headline/sentiment_all,-1.4760362044515916,llm/gemma-4-31b,-0.7352254818948213
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_non_reuters,3,-1.4285235474292284,False,llm/vader,-1.3597738081756139,headline/actionable_sentiment_all,-0.6464327317596036
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_reuters,3,-2.451974463120287,False,headline/sentiment_non_reuters,-1.9303769898960894,headline/sentiment_reuters,-1.8077415480708405
headline/actionable_sentiment_all|headline/sentiment_all|llm/finbert,3,-1.962685826764991,False,headline/sentiment_non_reuters,-1.6195892135493952,headline/actionable_sentiment_all,-1.2492177646485276
headline/actionable_sentiment_all|headline/sentiment_all|llm/gemma-4-31b,3,-2.2970349933577316,False,headline/sentiment_non_reuters,-1.8531807301649483,headline/actionable_sentiment_all,-1.7286363997841463
headline/actionable_sentiment_all|headline/sentiment_all|llm/vader,3,-1.587485044679525,False,headline/sentiment_non_reuters,-1.3597738081756139,headline/actionable_sentiment_all,-0.7461315724666762
headline/actionable_sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters,3,-2.4903841858365006,False,headline/sentiment_all,-1.9303769898960894,headline/sentiment_reuters,-1.8631296047593624
headline/actionable_sentiment_all|headline/sentiment_non_reuters|llm/finbert,3,-2.001605813339026,False,headline/sentiment_all,-1.6195892135493952,headline/actionable_sentiment_all,-1.3100628037236761
headline/actionable_sentiment_all|headline/sentiment_non_reuters|llm/gemma-4-31b,3,-2.3346516362715173,False,headline/sentiment_all,-1.8531807301649483,headline/actionable_sentiment_all,-1.7869584465299397
